name,freq,gender
DESSIE,0.008,female
LIBBY,0.008,female
KATHI,0.008,female
GAYLA,0.008,female
LATANYA,0.008,female
MINA,0.008,female
MELLISA,0.008,female
KIMBERLEE,0.008,female
JASMIN,0.008,female
RENAE,0.008,female
ZELDA,0.008,female
ELDA,0.008,female
MA,0.008,female
JUSTINA,0.008,female
GUSSIE,0.008,female
EMILIE,0.008,female
CAMILLA,0.008,female
ABBIE,0.008,female
ROCIO,0.008,female
KAITLYN,0.008,female
JESSE,0.008,female
EDYTHE,0.008,female
ASHLEIGH,0.008,female
SELINA,0.008,female
LAKESHA,0.008,female
GERI,0.008,female
ALLENE,0.008,female
PAMALA,0.008,female
MICHAELA,0.008,female
DAYNA,0.008,female
CARYN,0.008,female
ROSALIA,0.008,female
SUN,0.007,female
JACQULINE,0.007,female
REBECA,0.007,female
MARYBETH,0.007,female
KRYSTLE,0.007,female
IOLA,0.007,female
DOTTIE,0.007,female
BENNIE,0.007,female
BELLE,0.007,female
AUBREY,0.007,female
GRISELDA,0.007,female
ERNESTINA,0.007,female
ELIDA,0.007,female
ADRIANNE,0.007,female
DEMETRIA,0.007,female
DELMA,0.007,female
CHONG,0.007,female
JAQUELINE,0.007,female
DESTINY,0.007,female
ARLEEN,0.007,female
VIRGINA,0.007,female
RETHA,0.007,female
FATIMA,0.007,female
TILLIE,0.007,female
ELEANORE,0.007,female
CARI,0.007,female
TREVA,0.007,female
BIRDIE,0.007,female
WILHELMINA,0.007,female
ROSALEE,0.007,female
MAURINE,0.007,female
LATRICE,0.007,female
YONG,0.007,female
JENA,0.007,female
TARYN,0.007,female
ELIA,0.007,female
DEBBY,0.007,female
MAUDIE,0.007,female
JEANNA,0.007,female
DELILAH,0.007,female
CATRINA,0.007,female
SHONDA,0.007,female
HORTENCIA,0.007,female
THEODORA,0.007,female
TERESITA,0.007,female
ROBBIN,0.007,female
DANETTE,0.007,female
MARYJANE,0.007,female
FREDDIE,0.007,female
DELPHINE,0.007,female
BRIANNE,0.007,female
NILDA,0.007,female
DANNA,0.007,female
CINDI,0.007,female
BESS,0.007,female
IONA,0.007,female
HANNA,0.007,female
ARIEL,0.007,female
WINONA,0.007,female
VIDA,0.007,female
ROSITA,0.007,female
MARIANNA,0.007,female
WILLIAM,0.007,female
RACHEAL,0.007,female
GUILLERMINA,0.007,female
ELOISA,0.007,female
CELESTINE,0.007,female
CAREN,0.007,female
MALISSA,0.007,female
LONA,0.007,female
CHANTEL,0.007,female
SHELLIE,0.007,female
MARISELA,0.007,female
LEORA,0.007,female
AGATHA,0.007,female
SOLEDAD,0.007,female
MIGDALIA,0.007,female
IVETTE,0.007,female
CHRISTEN,0.007,female
ATHENA,0.007,female
JANEL,0.007,female
CHLOE,0.007,female
VEDA,0.007,female
PATTIE,0.007,female
TESSIE,0.007,female
TERA,0.007,female
MARILYNN,0.007,female
LUCRETIA,0.007,female
KARRIE,0.007,female
DINAH,0.007,female
DANIELA,0.007,female
ALECIA,0.007,female
ADELINA,0.007,female
VERNICE,0.007,female
SHIELA,0.007,female
PORTIA,0.007,female
MERRY,0.007,female
LASHAWN,0.007,female
DEVON,0.007,female
DARA,0.007,female
TAWANA,0.007,female
OMA,0.007,female
VERDA,0.007,female
CHRISTIN,0.007,female
ALENE,0.007,female
ZELLA,0.006,female
SANDI,0.006,female
RAFAELA,0.006,female
MAYA,0.006,female
KIRA,0.006,female
CANDIDA,0.006,female
ALVINA,0.006,female
SUZAN,0.006,female
SHAYLA,0.006,female
LYN,0.006,female
LETTIE,0.006,female
